,DATE,SGG,NO2,O3,CO,SO2,PM10
0,2010-01-01,강남,0.034636,0.007273,0.609091,0.006864,33.090909
1,2010-01-02,강남,0.034,0.008727,0.627273,0.0075,54.363636
2,2010-01-03,강남,0.032636,0.015818,0.627273,0.007182,47.363636
3,2010-01-04,강남,0.035182,0.012182,0.581818,0.004909,37.454545
4,2010-01-05,강남,0.027,0.021182,0.5,0.006364,49.454545
5,2010-01-06,강남,0.035636,0.015091,0.563636,0.005727,39.818182
6,2010-01-07,강남,0.051,0.008818,0.804545,0.007,58.909091
7,2010-01-08,강남,0.067273,0.006,1.068182,0.007727,81.090909
8,2010-01-09,강남,0.072636,0.003182,1.090909,0.007273,83.272727
9,2010-01-10,강남,0.060909,0.004091,0.972727,0.007727,75.545455
10,2010-01-11,강남,0.053091,0.008,0.990909,0.008045,77.363636
11,2010-01-12,강남,0.028636,0.018909,0.463636,0.007227,33.636364
12,2010-01-13,강남,0.026,0.019818,0.490909,0.007455,36.363636
13,2010-01-14,강남,0.050545,0.006818,0.809091,0.007182,47.454545
14,2010-01-15,강남,0.050545,0.008545,0.827273,0.008318,57.636364
15,2010-01-16,강남,0.053818,0.008182,0.881818,0.007773,58.636364
16,2010-01-17,강남,0.064364,0.006091,1.045455,0.007682,55.909091
17,2010-01-18,강남,0.071727,0.002273,1.109091,0.008636,80.272727
18,2010-01-19,강남,0.066273,0.003273,1.095455,0.008682,89.318182
19,2010-01-20,강남,0.066818,0.001636,1.136364,0.006818,63.363636
20,2010-01-21,강남,0.022909,0.020273,0.427273,0.004909,40.181818
21,2010-01-22,강남,0.023182,0.019545,0.381818,0.005636,39.818182
22,2010-01-23,강남,0.032909,0.014545,0.481818,0.007273,48.363636
23,2010-01-24,강남,0.036818,0.012091,0.609091,0.008955,56.727273
24,2010-01-25,강남,0.027273,0.017182,0.545455,0.009045,99.090909
25,2010-01-26,강남,0.040091,0.011636,0.6,0.007182,54.727273
26,2010-01-27,강남,0.052273,0.003273,0.922727,0.006364,52.818182
27,2010-01-28,강남,0.034091,0.011909,0.554545,0.007273,53.181818
28,2010-01-29,강남,0.034182,0.014545,0.536364,0.006545,45.363636
29,2010-01-30,강남,0.046818,0.007818,0.754545,0.0095,79.181818
30,2010-01-31,강남,0.053636,0.003273,1.059091,0.008909,96.545455
31,2010-02-01,강남,0.04,0.010182,0.872727,0.007773,98.227273
32,2010-02-02,강남,0.020364,0.025455,0.327273,0.004455,26.0
33,2010-02-03,강남,0.025091,0.020727,0.445455,0.006545,40.0
34,2010-02-04,강남,0.036909,0.014182,0.572727,0.007227,46.545455
35,2010-02-05,강남,0.028182,0.020455,0.436364,0.006364,38.727273
36,2010-02-06,강남,0.040455,0.011727,0.6,0.006273,49.909091
37,2010-02-07,강남,0.055545,0.006545,0.963636,0.007273,55.454545
38,2010-02-08,강남,0.062182,0.002545,1.036364,0.008227,64.909091
39,2010-02-09,강남,0.048545,0.002,1.018182,0.0065,61.272727
40,2010-02-10,강남,0.042636,0.004545,0.718182,0.005182,31.272727
41,2010-02-11,강남,0.027545,0.018545,0.418182,0.003545,9.090909
42,2010-02-12,강남,0.032818,0.015727,0.454545,0.003636,19.363636
43,2010-02-13,강남,0.024091,0.030273,0.418182,0.004818,32.181818
44,2010-02-14,강남,0.035364,0.018909,0.527273,0.005455,36.545455
45,2010-02-15,강남,0.028,0.027273,0.572727,0.008,57.272727
46,2010-02-16,강남,0.031727,0.022273,0.445455,0.005364,42.363636
47,2010-02-17,강남,0.047818,0.011364,0.681818,0.007182,54.545455
48,2010-02-18,강남,0.028636,0.023818,0.481818,0.007091,61.909091
49,2010-02-19,강남,0.041364,0.015818,0.536364,0.007182,57.545455
50,2010-02-20,강남,0.049455,0.013818,0.763636,0.009,75.181818
51,2010-02-21,강남,0.045727,0.020727,0.772727,0.007682,63.909091
52,2010-02-22,강남,0.048455,0.020091,0.645455,0.007364,73.0
53,2010-02-23,강남,0.061,0.010182,0.922727,0.007591,85.909091
54,2010-02-24,강남,0.063091,0.012909,0.954545,0.007864,79.909091
55,2010-02-25,강남,0.039545,0.010273,0.572727,0.005273,34.181818
56,2010-02-26,강남,0.036727,0.010273,0.636364,0.004636,32.727273
57,2010-02-27,강남,0.033182,0.009727,0.618182,0.004273,42.181818
58,2010-02-28,강남,0.031636,0.015909,0.581818,0.006455,60.818182
59,2010-03-01,강남,0.021909,0.029909,0.445455,0.004091,27.545455
60,2010-03-02,강남,0.033,0.018455,0.518182,0.003818,29.363636
61,2010-03-03,강남,0.039636,0.019636,0.718182,0.006273,94.045455
62,2010-03-04,강남,0.032455,0.019273,0.518182,0.003636,31.090909
63,2010-03-05,강남,0.037364,0.016545,0.572727,0.004727,41.454545
64,2010-03-06,강남,0.030636,0.021727,0.627273,0.006182,65.454545
65,2010-03-07,강남,0.018364,0.035545,0.363636,0.003,15.818182
66,2010-03-08,강남,0.022182,0.032273,0.363636,0.002909,16.0
67,2010-03-09,강남,0.030455,0.022,0.427273,0.003,21.727273
68,2010-03-10,강남,0.031727,0.023455,0.481818,0.004364,30.727273
69,2010-03-11,강남,0.033545,0.027818,0.527273,0.006455,49.181818
70,2010-03-12,강남,0.031455,0.031545,0.518182,0.005909,82.090909
71,2010-03-13,강남,0.028818,0.025727,0.427273,0.003727,97.545455
72,2010-03-14,강남,0.042455,0.012182,0.581818,0.004273,94.045455
73,2010-03-15,강남,0.030364,0.021273,0.518182,0.003727,95.5
74,2010-03-16,강남,0.018364,0.035091,0.336364,0.003818,100.5
75,2010-03-17,강남,0.035182,0.022091,0.463636,0.004818,53.272727
76,2010-03-18,강남,0.028182,0.029091,0.436364,0.005091,42.181818
77,2010-03-19,강남,0.044273,0.015909,0.536364,0.005545,47.727273
78,2010-03-20,강남,0.041636,0.014909,0.75,0.005091,99.863636
79,2010-03-21,강남,0.017636,0.037818,0.336364,0.004909,43.363636
80,2010-03-22,강남,0.048818,0.011182,0.672727,0.004636,45.545455
81,2010-03-23,강남,0.045818,0.012,0.709091,0.004182,53.363636
82,2010-03-24,강남,0.041455,0.016636,0.627273,0.004182,77.636364
83,2010-03-25,강남,0.026273,0.029364,0.445455,0.004364,54.0
84,2010-03-26,강남,0.022182,0.036909,0.4,0.004909,48.909091
85,2010-03-27,강남,0.029909,0.032,0.481818,0.006,89.409091
86,2010-03-28,강남,0.026,0.033364,0.409091,0.005364,51.181818
87,2010-03-29,강남,0.043273,0.025273,0.518182,0.006545,57.818182
88,2010-03-30,강남,0.051,0.022273,0.609091,0.006727,65.090909
89,2010-03-31,강남,0.046182,0.009727,0.609091,0.003818,33.454545
90,2010-04-01,강남,0.035364,0.011818,0.518182,0.003727,60.818182
91,2010-04-02,강남,0.029727,0.029091,0.445455,0.005909,87.909091
92,2010-04-03,강남,0.029273,0.028909,0.4,0.004818,65.909091
93,2010-04-04,강남,0.042545,0.021273,0.554545,0.005,53.818182
94,2010-04-05,강남,0.048091,0.016273,0.6,0.004636,48.454545
95,2010-04-06,강남,0.030636,0.028636,0.454545,0.004909,46.090909
96,2010-04-07,강남,0.034545,0.027727,0.472727,0.004455,40.636364
97,2010-04-08,강남,0.048818,0.024455,0.581818,0.006455,61.181818
98,2010-04-09,강남,0.052364,0.025182,0.645455,0.005455,52.818182
99,2010-04-10,강남,0.053364,0.013818,0.654545,0.005818,61.818182
100,2010-04-11,강남,0.025182,0.029727,0.445455,0.003636,30.0
101,2010-04-12,강남,0.027818,0.027455,0.4,0.003,31.363636
102,2010-04-13,강남,0.015818,0.036636,0.345455,0.003091,32.909091
103,2010-04-14,강남,0.019,0.033091,0.309091,0.003273,33.818182
104,2010-04-15,강남,0.031909,0.029727,0.454545,0.004909,47.0
105,2010-04-16,강남,0.043091,0.027273,0.590909,0.006455,78.636364
106,2010-04-17,강남,0.044,0.023091,0.545455,0.005909,55.818182
107,2010-04-18,강남,0.039273,0.027636,0.618182,0.005273,64.727273
108,2010-04-19,강남,0.053909,0.016364,0.727273,0.004727,63.454545
109,2010-04-20,강남,0.049455,0.015182,0.754545,0.005273,58.909091
110,2010-04-21,강남,0.035636,0.021727,0.536364,0.003636,36.818182
111,2010-04-22,강남,0.022,0.035455,0.381818,0.002818,14.636364
112,2010-04-23,강남,0.028545,0.031545,0.436364,0.002727,24.0
113,2010-04-24,강남,0.043182,0.030091,0.581818,0.005091,58.727273
114,2010-04-25,강남,0.045455,0.038864,0.563636,0.0065,66.545455
115,2010-04-26,강남,0.049818,0.022091,0.618182,0.004636,50.727273
116,2010-04-27,강남,0.020727,0.036864,0.454545,0.003727,35.909091
117,2010-04-28,강남,0.028182,0.027182,0.436364,0.004091,35.363636
118,2010-04-29,강남,0.026727,0.027909,0.472727,0.006182,59.909091
119,2010-04-30,강남,0.031545,0.027,0.518182,0.005455,53.545455
120,2010-05-01,강남,0.033818,0.040864,0.481818,0.006909,40.727273
121,2010-05-02,강남,0.032545,0.048227,0.481818,0.006182,65.454545
122,2010-05-03,강남,0.022364,0.037636,0.381818,0.003545,87.272727
123,2010-05-04,강남,0.026455,0.032364,0.4,0.003909,83.818182
124,2010-05-05,강남,0.035545,0.029455,0.572727,0.004727,76.727273
125,2010-05-06,강남,0.023,0.030455,0.390909,0.003455,32.272727
126,2010-05-07,강남,0.033091,0.039273,0.466667,0.006091,39.818182
127,2010-05-08,강남,0.042818,0.042636,0.566667,0.008682,67.818182
128,2010-05-09,강남,0.054182,0.035727,0.654545,0.008409,81.363636
129,2010-05-10,강남,0.027727,0.041455,0.381818,0.004909,86.136364
130,2010-05-11,강남,0.041455,0.023455,0.445455,0.004909,59.909091
131,2010-05-12,강남,0.030636,0.026818,0.454545,0.004091,53.909091
132,2010-05-13,강남,0.044455,0.022818,0.6,0.004545,64.909091
133,2010-05-14,강남,0.047818,0.022909,0.572727,0.004455,46.545455
134,2010-05-15,강남,0.040778,0.031889,0.480808,0.005798,53.060606
135,2010-05-16,강남,0.039323,0.031808,0.469697,0.004727,44.282828
136,2010-05-17,강남,0.050364,0.027909,0.518182,0.005364,56.0
137,2010-05-18,강남,0.028182,0.012636,0.445455,0.003,17.727273
138,2010-05-19,강남,0.030455,0.031182,0.718182,0.005909,77.954545
139,2010-05-20,강남,0.032545,0.0485,0.790909,0.0085,100.5
140,2010-05-21,강남,0.044,0.046182,0.736364,0.008045,100.5
141,2010-05-22,강남,0.055909,0.019909,0.709091,0.005818,94.409091
142,2010-05-23,강남,0.013455,0.049091,0.345455,0.002727,9.454545
143,2010-05-24,강남,0.022455,0.034545,0.418182,0.002545,17.363636
144,2010-05-25,강남,0.037091,0.021,0.572727,0.003364,52.818182
145,2010-05-26,강남,0.020091,0.023364,0.372727,0.003,18.727273
146,2010-05-27,강남,0.028727,0.028636,0.309091,0.003273,19.272727
147,2010-05-28,강남,0.047636,0.011636,0.5,0.005909,43.454545
148,2010-05-29,강남,0.035455,0.024364,0.418182,0.004455,38.0
149,2010-05-30,강남,0.024545,0.025727,0.372727,0.003273,30.181818
150,2010-05-31,강남,0.031364,0.016909,0.4,0.003182,29.545455
151,2010-06-01,강남,0.036636,0.027455,0.381818,0.003636,28.363636
152,2010-06-02,강남,0.045545,0.037818,0.490909,0.004727,48.090909
153,2010-06-03,강남,0.037091,0.030636,0.418182,0.005273,46.454545
154,2010-06-04,강남,0.034909,0.024727,0.409091,0.004364,40.181818
155,2010-06-05,강남,0.038273,0.023182,0.436364,0.004364,43.909091
156,2010-06-06,강남,0.035091,0.032909,0.463636,0.003818,42.545455
157,2010-06-07,강남,0.036545,0.032727,0.418182,0.004091,39.272727
158,2010-06-08,강남,0.037273,0.042364,0.390909,0.003909,33.545455
159,2010-06-09,강남,0.052818,0.049955,0.509091,0.005364,56.636364
160,2010-06-10,강남,0.054545,0.052273,0.6,0.006318,76.363636
161,2010-06-11,강남,0.041636,0.047545,0.490909,0.005909,52.454545
162,2010-06-12,강남,0.026,0.028727,0.418182,0.003,27.181818
163,2010-06-13,강남,0.023182,0.026273,0.418182,0.003,25.454545
164,2010-06-14,강남,0.036909,0.013545,0.5,0.003818,33.636364
165,2010-06-15,강남,0.031636,0.014818,0.463636,0.003909,27.454545
166,2010-06-16,강남,0.032091,0.027182,0.463636,0.004727,49.636364
167,2010-06-17,강남,0.042455,0.035273,0.831818,0.006273,100.5
168,2010-06-18,강남,0.041141,0.036515,0.841919,0.004505,100.5
169,2010-06-19,강남,0.031606,0.027414,0.676263,0.004192,84.636364
170,2010-06-20,강남,0.023212,0.031061,0.489899,0.003404,48.222222
171,2010-06-21,강남,0.033596,0.03702,0.530303,0.004091,57.565657
172,2010-06-22,강남,0.042939,0.025515,0.445455,0.006495,51.232323
